time,roll,pitch,yaw,origin_x,origin_y,origin_z
0.0,-177.16843628464858,1.5586429304925413,-2.858018124716419,-158.9292283,328.6413342,36.79806446
0.01,-177.2676164796713,1.6187626731195897,-2.863005840769063,-158.91737,328.5799327,36.82608794
0.02,-177.28702179341118,1.6132338928993315,-2.884576489925051,-158.9490458,328.652978,36.7986303
0.03,-177.2940333688535,1.6169040329538293,-2.878765138336386,-158.9319808,328.6545151,36.79832502
0.04,-177.24538650025954,1.5871049344939099,-2.864960483809472,-158.9541127,328.6283385,36.81226577
0.05,-177.13123522266784,1.5768341030526367,-2.8706906528410467,-158.9100814,328.681656,36.8489885
0.06,-177.16119310874862,1.5654896921595625,-2.860072353282125,-158.9107711,328.6465797,36.82544116
0.07,-177.11711447964097,1.6222648628321632,-2.8876227313086025,-158.9214971,328.6612631,36.82849552
0.08,-177.18955834934786,1.6311483292126456,-2.8862814163432375,-158.9123859,328.6797382,36.85565793
0.09,-177.17430686468242,1.6244643978003537,-2.8852994810738237,-158.9209226,328.6149966,36.7539181
0.1,-177.24761037101206,1.5759103831926125,-2.8666464747221108,-158.9224507,328.6535507,36.74706478
0.11,-176.98223274231069,1.608350926665179,-2.898336708560521,-158.9555469,328.7389812,36.87432866
0.12,-177.22865700607136,1.6330480457924565,-2.8849866156637662,-158.9069919,328.6744343,36.8518517
0.13,-177.1524998502088,1.6584635018533953,-2.882487325980106,-158.9572693,328.6912186,36.92182639
0.14,-177.14888738367654,1.5778741630096542,-2.8619467279951554,-158.9202518,328.6549007,36.86218259
0.15,-177.16039913867968,1.5658881774423785,-2.8527184820028797,-158.9112813,328.6064819,36.71283009
0.16,-177.09164706198015,1.5645130782217873,-2.8719406463602906,-158.9064164,328.6488438,36.73526066
0.17,-177.18790137398216,1.6143873136856013,-2.8611239281722978,-158.9281255,328.6341161,36.88162564
0.18,-177.21677448654697,1.6174331560996187,-2.8839442166985934,-158.9596003,328.6966449,36.79400891
0.19,-177.10966178324247,1.6312923630715537,-2.8632545156531615,-158.9425182,328.6431574,36.93390661
0.2,-177.04254516085615,1.6166807169745172,-2.863889937091031,-158.9449935,328.6674027,36.87266509
0.21,-177.2493498108833,1.610505927077571,-2.8701788927676266,-158.9190067,328.6423882,36.88040803
0.22,-177.24965564150716,1.6654681397129314,-2.894681614416748,-158.9400292,328.6929731,36.86297376
0.23,-177.16836947783287,1.622675665437263,-2.85291916976987,-158.8591278,328.6259948,36.89043298
0.24,-177.20839189483615,1.6374717916284158,-2.8898518823003094,-158.9400292,328.6929731,36.86297376
0.25,-177.1615018295567,1.5970363494900062,-2.8709529244840715,-158.9393543,328.6471727,36.84553709
0.26,-177.3018932274195,1.630952710018167,-2.8971896312247205,-158.9559778,328.7179763,36.84174527
0.27,-177.09392716631203,1.6721228609272634,-2.894730661373656,-158.8847444,328.6687385,36.89574161
0.28,-177.18095121244485,1.64854777808579,-2.882994516479888,-158.9030456,328.6517808,36.80493449
0.29,-177.16883119363882,1.634463617695264,-2.8862065132172634,-158.9186623,328.6574995,36.87927802
0.3,-177.18980088898883,1.6346306250352192,-2.8790730436199956,-158.9059168,328.6769387,36.84023832
0.31,-177.1816769678623,1.5978764535623637,-2.8633528231771725,-158.9068544,328.6422335,36.82026861
0.32,-177.10218246965738,1.597357441770262,-2.873613466111659,-158.9379188,328.654896,36.83672418
0.33,-177.13576357434957,1.6125497227240981,-2.871433103547958,-158.9964834,328.6724388,36.877335
0.34,-177.2517818708662,1.6075246604966273,-2.861589188209019,-158.964545,328.638481,36.8546322
0.35,-177.09915063199537,1.6069797060996878,-2.8693900224625946,-158.9576445,328.6647374,36.85249507
0.36,-177.29629274760455,1.619321531938244,-2.8814438148160106,-158.9574978,328.6657412,36.80228189
0.37,-177.2605153116284,1.6458712608250952,-2.8927818738113382,-158.9472309,328.6803015,36.90851574
0.38,-177.27746984377595,1.594731313479805,-2.858788458808211,-158.9329284,328.626914,36.81545066
0.39,-177.11655958148697,1.6282966825333016,-2.8868185552606596,-158.9307632,328.7213376,36.92383641
0.4,-177.25726734214578,1.6000397036024512,-2.878127535647493,-158.9162066,328.6691825,36.84508259
